titulo,ano,link,numeros
Cadernos CEDES,2003,/j/ccedes/i/2003.v23n59/ ; /j/ccedes/i/2003.v23n60/ ; /j/ccedes/i/2003.v23n61/,3
Cadernos CEDES,2002,/j/ccedes/i/2002.v22n56/ ; /j/ccedes/i/2002.v22n57/ ; /j/ccedes/i/2002.v22n58/,3
Cadernos CEDES,2001,/j/ccedes/i/2001.v21n53/ ; /j/ccedes/i/2001.v21n54/ ; /j/ccedes/i/2001.v21n55/,3
Cadernos CEDES,2000,/j/ccedes/i/2000.v20n50/ ; /j/ccedes/i/2000.v20n51/ ; /j/ccedes/i/2000.v20n52/,3
Cadernos CEDES,1999,/j/ccedes/i/1999.v19n48/ ; /j/ccedes/i/1999.v19n49/,2
Cadernos CEDES,1998,/j/ccedes/i/1998.v19n44/ ; /j/ccedes/i/1998.v19n45/ ; /j/ccedes/i/1998.v19n46/ ; /j/ccedes/i/1998.v19n47/,4
Cadernos CEDES,1997,/j/ccedes/i/1997.v18n42/ ; /j/ccedes/i/1997.v18n43/,2
Cadernos de Pesquisa,2021,/j/cp/i/2021.v51/,1
Cadernos de Pesquisa,2020,/j/cp/i/2020.v50n175/ ; /j/cp/i/2020.v50n176/ ; /j/cp/i/2020.v50n177/ ; /j/cp/i/2020.v50n178/,4
Cadernos de Pesquisa,2019,/j/cp/i/2019.v49n171/ ; /j/cp/i/2019.v49n172/ ; /j/cp/i/2019.v49n173/ ; /j/cp/i/2019.v49n174/,4
Cadernos de Pesquisa,2018,/j/cp/i/2018.v48n167/ ; /j/cp/i/2018.v48n168/ ; /j/cp/i/2018.v48n169/ ; /j/cp/i/2018.v48n170/,4
Cadernos de Pesquisa,2017,/j/cp/i/2017.v47n163/ ; /j/cp/i/2017.v47n164/ ; /j/cp/i/2017.v47n165/ ; /j/cp/i/2017.v47n166/,4
Cadernos de Pesquisa,2016,/j/cp/i/2016.v46n159/ ; /j/cp/i/2016.v46n160/ ; /j/cp/i/2016.v46n161/ ; /j/cp/i/2016.v46n162/,4
Cadernos de Pesquisa,2015,/j/cp/i/2015.v45n155/ ; /j/cp/i/2015.v45n156/ ; /j/cp/i/2015.v45n157/ ; /j/cp/i/2015.v45n158/,4
Cadernos de Pesquisa,2014,/j/cp/i/2014.v44n151/ ; /j/cp/i/2014.v44n152/ ; /j/cp/i/2014.v44n153/ ; /j/cp/i/2014.v44n154/,4
Cadernos de Pesquisa,2013,/j/cp/i/2013.v43n148/ ; /j/cp/i/2013.v43n149/ ; /j/cp/i/2013.v43n150/,3
Cadernos de Pesquisa,2012,/j/cp/i/2012.v42n145/ ; /j/cp/i/2012.v42n146/ ; /j/cp/i/2012.v42n147/,3
Cadernos de Pesquisa,2011,/j/cp/i/2011.v41n142/ ; /j/cp/i/2011.v41n143/ ; /j/cp/i/2011.v41n144/,3
Cadernos de Pesquisa,2010,/j/cp/i/2010.v40n139/ ; /j/cp/i/2010.v40n140/ ; /j/cp/i/2010.v40n141/,3
Cadernos de Pesquisa,2009,/j/cp/i/2009.v39n136/ ; /j/cp/i/2009.v39n137/ ; /j/cp/i/2009.v39n138/,3
Cadernos de Pesquisa,2008,/j/cp/i/2008.v38n133/ ; /j/cp/i/2008.v38n134/ ; /j/cp/i/2008.v38n135/,3
Cadernos de Pesquisa,2007,/j/cp/i/2007.v37n130/ ; /j/cp/i/2007.v37n131/ ; /j/cp/i/2007.v37n132/,3
Cadernos de Pesquisa,2006,/j/cp/i/2006.v36n127/ ; /j/cp/i/2006.v36n128/ ; /j/cp/i/2006.v36n129/,3
Cadernos de Pesquisa,2005,/j/cp/i/2005.v35n124/ ; /j/cp/i/2005.v35n125/ ; /j/cp/i/2005.v35n126/,3
Cadernos de Pesquisa,2004,/j/cp/i/2004.v34n121/ ; /j/cp/i/2004.v34n122/ ; /j/cp/i/2004.v34n123/,3
Cadernos de Pesquisa,2003,/j/cp/i/2003.n118/ ; /j/cp/i/2003.n119/ ; /j/cp/i/2003.n120/,3
Cadernos de Pesquisa,2002,/j/cp/i/2002.n115/ ; /j/cp/i/2002.n116/ ; /j/cp/i/2002.n117/,3
Cadernos de Pesquisa,2001,/j/cp/i/2001.n112/ ; /j/cp/i/2001.n113/ ; /j/cp/i/2001.n114/,3
Cadernos de Pesquisa,2000,/j/cp/i/2000.n109/ ; /j/cp/i/2000.n110/ ; /j/cp/i/2000.n111/,3
Cadernos de Pesquisa,1999,/j/cp/i/1999.n106/ ; /j/cp/i/1999.n107/ ; /j/cp/i/1999.n108/,3
Cadernos Nietzsche,2021,/j/cniet/i/2021.v42n1/,1
Cadernos Nietzsche,2020,/j/cniet/i/2020.v41n1/ ; /j/cniet/i/2020.v41n2/ ; /j/cniet/i/2020.v41n3/,3
Cadernos Nietzsche,2019,/j/cniet/i/2019.v40n1/ ; /j/cniet/i/2019.v40n2/ ; /j/cniet/i/2019.v40n3/,3
Cadernos Nietzsche,2018,/j/cniet/i/2018.v39n1/ ; /j/cniet/i/2018.v39n2/ ; /j/cniet/i/2018.v39n3/,3
Cadernos Nietzsche,2017,/j/cniet/i/2017.v38n1/ ; /j/cniet/i/2017.v38n2/ ; /j/cniet/i/2017.v38n3/,3
Cadernos Nietzsche,2016,/j/cniet/i/2016.v37n1/ ; /j/cniet/i/2016.v37n2/ ; /j/cniet/i/2016.v37n3/,3
Cadernos Nietzsche,2015,/j/cniet/i/2015.v36n1/ ; /j/cniet/i/2015.v36n2/,2
Cadernos Nietzsche,2014,/j/cniet/i/2014.v1n34/ ; /j/cniet/i/2014.v1n35/,2
Cadernos Nietzsche,2013,/j/cniet/i/2013.n32/ ; /j/cniet/i/2013.n33/,2
Cadernos Nietzsche,2012,/j/cniet/i/2012.n31/,1
Cadernos Pagu,2020,/j/cpa/i/2020.n58/ ; /j/cpa/i/2020.n59/ ; /j/cpa/i/2020.n60/,3
Cadernos Pagu,2019,/j/cpa/i/2019.n55/ ; /j/cpa/i/2019.n56/ ; /j/cpa/i/2019.n57/,3
Cadernos Pagu,2018,/j/cpa/i/2018.n52/ ; /j/cpa/i/2018.n53/ ; /j/cpa/i/2018.n54/,3
Cadernos Pagu,2017,/j/cpa/i/2017.n49/ ; /j/cpa/i/2017.n50/ ; /j/cpa/i/2017.n51/,3
Cadernos Pagu,2016,/j/cpa/i/2016.n46/ ; /j/cpa/i/2016.n47/ ; /j/cpa/i/2016.n48/,3
Cadernos Pagu,2015,/j/cpa/i/2015.n44/ ; /j/cpa/i/2015.n45/,2
Cadernos Pagu,2014,/j/cpa/i/2014.n42/ ; /j/cpa/i/2014.n43/,2
Cadernos Pagu,2013,/j/cpa/i/2013.n40/ ; /j/cpa/i/2013.n41/,2
Cadernos Pagu,2012,/j/cpa/i/2012.n38/ ; /j/cpa/i/2012.n39/,2
Cadernos Pagu,2011,/j/cpa/i/2011.n36/ ; /j/cpa/i/2011.n37/,2
Cadernos Pagu,2010,/j/cpa/i/2010.n34/ ; /j/cpa/i/2010.n35/,2
Cadernos Pagu,2009,/j/cpa/i/2009.n32/ ; /j/cpa/i/2009.n33/,2
Cadernos Pagu,2008,/j/cpa/i/2008.n30/ ; /j/cpa/i/2008.n31/,2
Cadernos Pagu,2007,/j/cpa/i/2007.n28/ ; /j/cpa/i/2007.n29/,2
Cadernos Pagu,2006,/j/cpa/i/2006.n26/ ; /j/cpa/i/2006.n27/,2
Cadernos Pagu,2005,/j/cpa/i/2005.n24/ ; /j/cpa/i/2005.n25/,2
Cadernos Pagu,2004,/j/cpa/i/2004.n22/ ; /j/cpa/i/2004.n23/,2
Cadernos Pagu,2003,/j/cpa/i/2003.n20/ ; /j/cpa/i/2003.n21/,2
Cadernos Pagu,2002,/j/cpa/i/2002.n17-18/ ; /j/cpa/i/2002.n19/,2
Cadernos Pagu,2001,/j/cpa/i/2001.n16/,1
Ciência & Educação (Bauru),2021,/j/ciedu/i/2021.v27/,1
Ciência & Educação (Bauru),2020,/j/ciedu/i/2020.v26/,1
Ciência & Educação (Bauru),2019,/j/ciedu/i/2019.v25n1/ ; /j/ciedu/i/2019.v25n2/ ; /j/ciedu/i/2019.v25n3/ ; /j/ciedu/i/2019.v25n4/,4
Ciência & Educação (Bauru),2018,/j/ciedu/i/2018.v24n1/ ; /j/ciedu/i/2018.v24n2/ ; /j/ciedu/i/2018.v24n3/ ; /j/ciedu/i/2018.v24n4/,4
Ciência & Educação (Bauru),2017,/j/ciedu/i/2017.v23n1/ ; /j/ciedu/i/2017.v23n2/ ; /j/ciedu/i/2017.v23n3/ ; /j/ciedu/i/2017.v23n4/,4
Ciência & Educação (Bauru),2016,/j/ciedu/i/2016.v22n1/ ; /j/ciedu/i/2016.v22n2/ ; /j/ciedu/i/2016.v22n3/ ; /j/ciedu/i/2016.v22n4/,4
Ciência & Educação (Bauru),2015,/j/ciedu/i/2015.v21n1/ ; /j/ciedu/i/2015.v21n2/ ; /j/ciedu/i/2015.v21n3/ ; /j/ciedu/i/2015.v21n4/,4
Ciência & Educação (Bauru),2014,/j/ciedu/i/2014.v20n1/ ; /j/ciedu/i/2014.v20n2/ ; /j/ciedu/i/2014.v20n3/ ; /j/ciedu/i/2014.v20n4/,4
Ciência & Educação (Bauru),2013,/j/ciedu/i/2013.v19n1/ ; /j/ciedu/i/2013.v19n2/ ; /j/ciedu/i/2013.v19n3/ ; /j/ciedu/i/2013.v19n4/,4
Ciência & Educação (Bauru),2012,/j/ciedu/i/2012.v18n1/ ; /j/ciedu/i/2012.v18n2/ ; /j/ciedu/i/2012.v18n3/ ; /j/ciedu/i/2012.v18n4/,4
Ciência & Educação (Bauru),2011,/j/ciedu/i/2011.v17n1/ ; /j/ciedu/i/2011.v17n2/ ; /j/ciedu/i/2011.v17n3/ ; /j/ciedu/i/2011.v17n4/,4
Ciência & Educação (Bauru),2010,/j/ciedu/i/2010.v16n1/ ; /j/ciedu/i/2010.v16n2/ ; /j/ciedu/i/2010.v16n3/,3
Ciência & Educação (Bauru),2009,/j/ciedu/i/2009.v15n1/ ; /j/ciedu/i/2009.v15n2/ ; /j/ciedu/i/2009.v15n3/,3
Ciência & Educação (Bauru),2008,/j/ciedu/i/2008.v14n1/ ; /j/ciedu/i/2008.v14n2/ ; /j/ciedu/i/2008.v14n3/,3
Ciência & Educação (Bauru),2007,/j/ciedu/i/2007.v13n1/ ; /j/ciedu/i/2007.v13n2/ ; /j/ciedu/i/2007.v13n3/,3
Ciência & Educação (Bauru),2006,/j/ciedu/i/2006.v12n1/ ; /j/ciedu/i/2006.v12n2/ ; /j/ciedu/i/2006.v12n3/,3
Ciência & Educação (Bauru),2005,/j/ciedu/i/2005.v11n1/ ; /j/ciedu/i/2005.v11n2/ ; /j/ciedu/i/2005.v11n3/,3
Ciência & Educação (Bauru),2004,/j/ciedu/i/2004.v10n1/ ; /j/ciedu/i/2004.v10n2/ ; /j/ciedu/i/2004.v10n3/,3
Ciência & Educação (Bauru),2003,/j/ciedu/i/2003.v9n1/ ; /j/ciedu/i/2003.v9n2/,2
Ciência & Educação (Bauru),2002,/j/ciedu/i/2002.v8n1/ ; /j/ciedu/i/2002.v8n2/,2
Ciência & Educação (Bauru),2001,/j/ciedu/i/2001.v7n1/ ; /j/ciedu/i/2001.v7n2/,2
Ciência & Educação (Bauru),2000,/j/ciedu/i/2000.v6n1/ ; /j/ciedu/i/2000.v6n2/,2
Ciência & Educação (Bauru),1998,/j/ciedu/i/1998.v5n1/ ; /j/ciedu/i/1998.v5n2/,2
Civitas - Revista de Ciências Sociais,2021,/j/civitas/i/2021.v21n1/,1
Civitas - Revista de Ciências Sociais,2020,/j/civitas/i/2020.v20n1/ ; /j/civitas/i/2020.v20n2/ ; /j/civitas/i/2020.v20n3/,3
Civitas - Revista de Ciências Sociais,2019,/j/civitas/i/2019.v19n1/ ; /j/civitas/i/2019.v19n2/ ; /j/civitas/i/2019.v19n3/,3
Civitas - Revista de Ciências Sociais,2018,/j/civitas/i/2018.v18n1/ ; /j/civitas/i/2018.v18n2/ ; /j/civitas/i/2018.v18n3/,3
Civitas - Revista de Ciências Sociais,2017,/j/civitas/i/2017.v17n1/ ; /j/civitas/i/2017.v17n2/ ; /j/civitas/i/2017.v17n3/,3
Civitas - Revista de Ciências Sociais,2016,/j/civitas/i/2016.v16n1/ ; /j/civitas/i/2016.v16n2/ ; /j/civitas/i/2016.v16n3/ ; /j/civitas/i/2016.v16n4/,4
Civitas - Revista de Ciências Sociais,2015,/j/civitas/i/2015.v15n1/ ; /j/civitas/i/2015.v15n2/ ; /j/civitas/i/2015.v15n3/ ; /j/civitas/i/2015.v15n4/,4
Civitas - Revista de Ciências Sociais,2014,/j/civitas/i/2014.v14n1/ ; /j/civitas/i/2014.v14n2/ ; /j/civitas/i/2014.v14n3/,3
Civitas - Revista de Ciências Sociais,2013,/j/civitas/i/2013.v13n1/ ; /j/civitas/i/2013.v13n2/ ; /j/civitas/i/2013.v13n3/,3
Civitas - Revista de Ciências Sociais,2012,/j/civitas/i/2012.v12n1/ ; /j/civitas/i/2012.v12n2/ ; /j/civitas/i/2012.v12n3/,3
Civitas - Revista de Ciências Sociais,2011,/j/civitas/i/2011.v11n1/ ; /j/civitas/i/2011.v11n3/,2
Contexto Internacional,2021,/j/cint/i/2021.v43n1/,1
Contexto Internacional,2020,/j/cint/i/2020.v42n1/ ; /j/cint/i/2020.v42n2/ ; /j/cint/i/2020.v42n3/,3
Contexto Internacional,2019,/j/cint/i/2019.v41n1/ ; /j/cint/i/2019.v41n2/ ; /j/cint/i/2019.v41n3/,3
Contexto Internacional,2018,/j/cint/i/2018.v40n1/ ; /j/cint/i/2018.v40n2/ ; /j/cint/i/2018.v40n3/,3
Contexto Internacional,2017,/j/cint/i/2017.v39n1/ ; /j/cint/i/2017.v39n2/ ; /j/cint/i/2017.v39n3/,3
Contexto Internacional,2016,/j/cint/i/2016.v38n1/ ; /j/cint/i/2016.v38n2/ ; /j/cint/i/2016.v38n3/,3
Contexto Internacional,2015,/j/cint/i/2015.v37n1/ ; /j/cint/i/2015.v37n2/ ; /j/cint/i/2015.v37n3/,3
Contexto Internacional,2014,/j/cint/i/2014.v36n1/ ; /j/cint/i/2014.v36n2/,2
Contexto Internacional,2013,/j/cint/i/2013.v35n1/ ; /j/cint/i/2013.v35n2/,2
Contexto Internacional,2012,/j/cint/i/2012.v34n1/ ; /j/cint/i/2012.v34n2/,2
Contexto Internacional,2011,/j/cint/i/2011.v33n1/ ; /j/cint/i/2011.v33n2/,2
Contexto Internacional,2010,/j/cint/i/2010.v32n1/ ; /j/cint/i/2010.v32n2/,2
Contexto Internacional,2009,/j/cint/i/2009.v31n1/ ; /j/cint/i/2009.v31n2/ ; /j/cint/i/2009.v31n3/,3
Contexto Internacional,2008,/j/cint/i/2008.v30n1/ ; /j/cint/i/2008.v30n2/ ; /j/cint/i/2008.v30n3/,3
Contexto Internacional,2007,/j/cint/i/2007.v29n1/ ; /j/cint/i/2007.v29n2/,2
Contexto Internacional,2006,/j/cint/i/2006.v28n1/ ; /j/cint/i/2006.v28n2/,2
Contexto Internacional,2005,/j/cint/i/2005.v27n1/ ; /j/cint/i/2005.v27n2/,2
Contexto Internacional,2004,/j/cint/i/2004.v26n1/ ; /j/cint/i/2004.v26n2/,2
Contexto Internacional,2003,/j/cint/i/2003.v25n1/ ; /j/cint/i/2003.v25n2/,2
Contexto Internacional,2002,/j/cint/i/2002.v24n1/ ; /j/cint/i/2002.v24n2/,2
Dados,2021,/j/dados/i/2021.v64n1/ ; /j/dados/i/2021.v64n2/ ; /j/dados/i/2021.v64n3/,3
Dados,2020,/j/dados/i/2020.v63n1/ ; /j/dados/i/2020.v63n2/ ; /j/dados/i/2020.v63n3/ ; /j/dados/i/2020.v63n4/,4
Dados,2019,/j/dados/i/2019.v62n1/ ; /j/dados/i/2019.v62n2/ ; /j/dados/i/2019.v62n3/ ; /j/dados/i/2019.v62n4/,4
Dados,2018,/j/dados/i/2018.v61n1/ ; /j/dados/i/2018.v61n2/ ; /j/dados/i/2018.v61n3/ ; /j/dados/i/2018.v61n4/,4
Dados,2017,/j/dados/i/2017.v60n1/ ; /j/dados/i/2017.v60n2/ ; /j/dados/i/2017.v60n3/ ; /j/dados/i/2017.v60n4/,4
Dados,2016,/j/dados/i/2016.v59n1/ ; /j/dados/i/2016.v59n2/ ; /j/dados/i/2016.v59n3/ ; /j/dados/i/2016.v59n4/,4
Dados,2015,/j/dados/i/2015.v58n1/ ; /j/dados/i/2015.v58n2/ ; /j/dados/i/2015.v58n3/ ; /j/dados/i/2015.v58n4/,4
Dados,2014,/j/dados/i/2014.v57n1/ ; /j/dados/i/2014.v57n2/ ; /j/dados/i/2014.v57n3/ ; /j/dados/i/2014.v57n4/,4
Dados,2013,/j/dados/i/2013.v56n1/ ; /j/dados/i/2013.v56n2/ ; /j/dados/i/2013.v56n3/ ; /j/dados/i/2013.v56n4/,4
Dados,2012,/j/dados/i/2012.v55n1/ ; /j/dados/i/2012.v55n2/ ; /j/dados/i/2012.v55n3/ ; /j/dados/i/2012.v55n4/,4
Dados,2011,/j/dados/i/2011.v54n1/ ; /j/dados/i/2011.v54n2/ ; /j/dados/i/2011.v54n3/ ; /j/dados/i/2011.v54n4/,4
Dados,2010,/j/dados/i/2010.v53n1/ ; /j/dados/i/2010.v53n2/ ; /j/dados/i/2010.v53n3/ ; /j/dados/i/2010.v53n4/,4
Dados,2009,/j/dados/i/2009.v52n1/ ; /j/dados/i/2009.v52n2/ ; /j/dados/i/2009.v52n3/ ; /j/dados/i/2009.v52n4/,4
Dados,2008,/j/dados/i/2008.v51n1/ ; /j/dados/i/2008.v51n2/ ; /j/dados/i/2008.v51n3/ ; /j/dados/i/2008.v51n4/,4
Dados,2007,/j/dados/i/2007.v50n1/ ; /j/dados/i/2007.v50n2/ ; /j/dados/i/2007.v50n3/ ; /j/dados/i/2007.v50n4/,4
Dados,2006,/j/dados/i/2006.v49n1/ ; /j/dados/i/2006.v49n2/ ; /j/dados/i/2006.v49n3/ ; /j/dados/i/2006.v49n4/,4
Dados,2005,/j/dados/i/2005.v48n1/ ; /j/dados/i/2005.v48n2/ ; /j/dados/i/2005.v48n3/ ; /j/dados/i/2005.v48n4/,4
Dados,2004,/j/dados/i/2004.v47n1/ ; /j/dados/i/2004.v47n2/ ; /j/dados/i/2004.v47n3/ ; /j/dados/i/2004.v47n4/,4
Dados,2003,/j/dados/i/2003.v46n1/ ; /j/dados/i/2003.v46n2/ ; /j/dados/i/2003.v46n3/ ; /j/dados/i/2003.v46n4/,4
Dados,2002,/j/dados/i/2002.v45n1/ ; /j/dados/i/2002.v45n2/ ; /j/dados/i/2002.v45n3/ ; /j/dados/i/2002.v45n4/,4
Dados,2001,/j/dados/i/2001.v44n1/ ; /j/dados/i/2001.v44n2/ ; /j/dados/i/2001.v44n3/ ; /j/dados/i/2001.v44n4/,4
Dados,2000,/j/dados/i/2000.v43n1/ ; /j/dados/i/2000.v43n2/ ; /j/dados/i/2000.v43n3/ ; /j/dados/i/2000.v43n4/,4
Dados,1999,/j/dados/i/1999.v42n1/ ; /j/dados/i/1999.v42n2/ ; /j/dados/i/1999.v42n3/ ; /j/dados/i/1999.v42n4/,4
Dados,1998,/j/dados/i/1998.v41n1/ ; /j/dados/i/1998.v41n2/ ; /j/dados/i/1998.v41n3/ ; /j/dados/i/1998.v41n4/,4
Dados,1997,/j/dados/i/1997.v40n1/ ; /j/dados/i/1997.v40n2/ ; /j/dados/i/1997.v40n3/,3
Dados,1996,/j/dados/i/1996.v39n3/,1
Dementia & Neuropsychologia,2021,/j/dn/i/2021.v15n1/,1
Dementia & Neuropsychologia,2020,/j/dn/i/2020.v14n1/ ; /j/dn/i/2020.v14n2/ ; /j/dn/i/2020.v14n3/ ; /j/dn/i/2020.v14n4/,4
Dementia & Neuropsychologia,2019,/j/dn/i/2019.v13n1/ ; /j/dn/i/2019.v13n2/ ; /j/dn/i/2019.v13n3/ ; /j/dn/i/2019.v13n4/,4
Dementia & Neuropsychologia,2018,/j/dn/i/2018.v12n1/ ; /j/dn/i/2018.v12n2/ ; /j/dn/i/2018.v12n3/ ; /j/dn/i/2018.v12n4/,4
Dementia & Neuropsychologia,2017,/j/dn/i/2017.v11n1/ ; /j/dn/i/2017.v11n2/ ; /j/dn/i/2017.v11n3/ ; /j/dn/i/2017.v11n4/,4
Dementia & Neuropsychologia,2016,/j/dn/i/2016.v10n1/ ; /j/dn/i/2016.v10n2/ ; /j/dn/i/2016.v10n3/ ; /j/dn/i/2016.v10n4/,4
Dementia & Neuropsychologia,2015,/j/dn/i/2015.v9n1/ ; /j/dn/i/2015.v9n2/ ; /j/dn/i/2015.v9n3/ ; /j/dn/i/2015.v9n4/,4
Dementia & Neuropsychologia,2014,/j/dn/i/2014.v8n1/ ; /j/dn/i/2014.v8n2/ ; /j/dn/i/2014.v8n3/ ; /j/dn/i/2014.v8n4/,4
Dementia & Neuropsychologia,2013,/j/dn/i/2013.v7n1/ ; /j/dn/i/2013.v7n2/ ; /j/dn/i/2013.v7n3/ ; /j/dn/i/2013.v7n4/,4
Dementia & Neuropsychologia,2012,/j/dn/i/2012.v6n1/ ; /j/dn/i/2012.v6n2/ ; /j/dn/i/2012.v6n3/ ; /j/dn/i/2012.v6n4/,4
Dementia & Neuropsychologia,2011,/j/dn/i/2011.v5n1/ ; /j/dn/i/2011.v5n2/ ; /j/dn/i/2011.v5n3/ ; /j/dn/i/2011.v5n4/,4
Dementia & Neuropsychologia,2010,/j/dn/i/2010.v4n1/ ; /j/dn/i/2010.v4n2/ ; /j/dn/i/2010.v4n3/ ; /j/dn/i/2010.v4n4/,4
Dementia & Neuropsychologia,2009,/j/dn/i/2009.v3n1/ ; /j/dn/i/2009.v3n2/ ; /j/dn/i/2009.v3n3/ ; /j/dn/i/2009.v3n4/,4
Dementia & Neuropsychologia,2008,/j/dn/i/2008.v2n1/ ; /j/dn/i/2008.v2n2/ ; /j/dn/i/2008.v2n3/ ; /j/dn/i/2008.v2n4/,4
Dementia & Neuropsychologia,2007,/j/dn/i/2007.v1n1/ ; /j/dn/i/2007.v1n2/ ; /j/dn/i/2007.v1n3/ ; /j/dn/i/2007.v1n4/,4
Dilemas: Revista de Estudos de Conflito e Controle Social,2021,/j/dilemas/i/2021.v14n1/,1
Dilemas: Revista de Estudos de Conflito e Controle Social,2020,/j/dilemas/i/2020.v13n2/ ; /j/dilemas/i/2020.v13n3/,2
Educação e Pesquisa,2021,/j/ep/i/2021.v47/,1
Educação e Pesquisa,2020,/j/ep/i/2020.v46/,1
Educação e Pesquisa,2019,/j/ep/i/2019.v45/,1
Educação e Pesquisa,2018,/j/ep/i/2018.v44/,1
Educação e Pesquisa,2017,/j/ep/i/2017.v43n1/ ; /j/ep/i/2017.v43n2/ ; /j/ep/i/2017.v43n3/ ; /j/ep/i/2017.v43n4/,4
Educação e Pesquisa,2016,/j/ep/i/2016.v42n1/ ; /j/ep/i/2016.v42n2/ ; /j/ep/i/2016.v42n3/ ; /j/ep/i/2016.v42n4/,4
Educação e Pesquisa,2015,/j/ep/i/2015.v41n1/ ; /j/ep/i/2015.v41n2/ ; /j/ep/i/2015.v41n3/ ; /j/ep/i/2015.v41n4/ ; /j/ep/i/2015.v41nspe/,5
Educação e Pesquisa,2014,/j/ep/i/2014.v40n1/ ; /j/ep/i/2014.v40n2/ ; /j/ep/i/2014.v40n3/ ; /j/ep/i/2014.v40n4/,4
Educação e Pesquisa,2013,/j/ep/i/2013.v39n1/ ; /j/ep/i/2013.v39n2/ ; /j/ep/i/2013.v39n3/ ; /j/ep/i/2013.v39n4/,4
Educação e Pesquisa,2012,/j/ep/i/2012.v38n1/ ; /j/ep/i/2012.v38n2/ ; /j/ep/i/2012.v38n3/ ; /j/ep/i/2012.v38n4/,4
Educação e Pesquisa,2011,/j/ep/i/2011.v37n1/ ; /j/ep/i/2011.v37n2/ ; /j/ep/i/2011.v37n3/ ; /j/ep/i/2011.v37n4/,4
Educação e Pesquisa,2010,/j/ep/i/2010.v36n1/ ; /j/ep/i/2010.v36n2/ ; /j/ep/i/2010.v36n3/ ; /j/ep/i/2010.v36nspe/,4
Educação e Pesquisa,2009,/j/ep/i/2009.v35n1/ ; /j/ep/i/2009.v35n2/ ; /j/ep/i/2009.v35n3/,3
Educação e Pesquisa,2008,/j/ep/i/2008.v34n1/ ; /j/ep/i/2008.v34n2/ ; /j/ep/i/2008.v34n3/,3
Educação e Pesquisa,2007,/j/ep/i/2007.v33n1/ ; /j/ep/i/2007.v33n2/ ; /j/ep/i/2007.v33n3/,3
Educação e Pesquisa,2006,/j/ep/i/2006.v32n1/ ; /j/ep/i/2006.v32n2/ ; /j/ep/i/2006.v32n3/,3
Educação e Pesquisa,2005,/j/ep/i/2005.v31n1/ ; /j/ep/i/2005.v31n2/ ; /j/ep/i/2005.v31n3/,3
Educação e Pesquisa,2004,/j/ep/i/2004.v30n1/ ; /j/ep/i/2004.v30n2/ ; /j/ep/i/2004.v30n3/,3
Educação e Pesquisa,2003,/j/ep/i/2003.v29n1/ ; /j/ep/i/2003.v29n2/,2
Educação e Pesquisa,2002,/j/ep/i/2002.v28n2/ ; /j/ep/i/2002.v28n1/,2
Educação e Pesquisa,2001,/j/ep/i/2001.v27n1/ ; /j/ep/i/2001.v27n2/,2
Educação e Pesquisa,2000,/j/ep/i/2000.v26n1/ ; /j/ep/i/2000.v26n2/,2
Educação e Pesquisa,1999,/j/ep/i/1999.v25n1/ ; /j/ep/i/1999.v25n2/,2
Educação em Revista,2021,/j/edur/i/2021.v37/,1
Educação em Revista,2020,/j/edur/i/2020.v36/,1
Educação em Revista,2019,/j/edur/i/2019.v35/,1
Educação em Revista,2018,/j/edur/i/2018.v34/,1
Educação em Revista,2017,/j/edur/i/2017.v33/,1
Educação em Revista,2016,/j/edur/i/2016.v32n1/ ; /j/edur/i/2016.v32n2/ ; /j/edur/i/2016.v32n3/ ; /j/edur/i/2016.v32n4/,4
Educação em Revista,2015,/j/edur/i/2015.v31n1/ ; /j/edur/i/2015.v31n2/ ; /j/edur/i/2015.v31n3/ ; /j/edur/i/2015.v31n4/,4
Educação em Revista,2014,/j/edur/i/2014.v30n1/ ; /j/edur/i/2014.v30n2/ ; /j/edur/i/2014.v30n3/ ; /j/edur/i/2014.v30n4/,4
Educação em Revista,2013,/j/edur/i/2013.v29n1/ ; /j/edur/i/2013.v29n2/ ; /j/edur/i/2013.v29n3/ ; /j/edur/i/2013.v29n4/,4
Educação em Revista,2012,/j/edur/i/2012.v28n1/ ; /j/edur/i/2012.v28n2/ ; /j/edur/i/2012.v28n3/ ; /j/edur/i/2012.v28n4/,4
Educação em Revista,2011,/j/edur/i/2011.v27n1/ ; /j/edur/i/2011.v27n2/ ; /j/edur/i/2011.v27n3/,3
Educação em Revista,2010,/j/edur/i/2010.v26n1/ ; /j/edur/i/2010.v26n2/ ; /j/edur/i/2010.v26n3/,3
Educação em Revista,2009,/j/edur/i/2009.v25n1/ ; /j/edur/i/2009.v25n2/ ; /j/edur/i/2009.v25n3/,3
Educação em Revista,2008,/j/edur/i/2008.n47/ ; /j/edur/i/2008.n48/,2
Educação em Revista,2007,/j/edur/i/2007.n45/ ; /j/edur/i/2007.n46/,2
Educação em Revista,2006,/j/edur/i/2006.n44/,1
Educação & Realidade,2021,/j/edreal/i/2021.v46n1/,1
Educação & Realidade,2020,/j/edreal/i/2020.v45n1/ ; /j/edreal/i/2020.v45n2/ ; /j/edreal/i/2020.v45n3/ ; /j/edreal/i/2020.v45n4/,4
Educação & Realidade,2019,/j/edreal/i/2019.v44n1/ ; /j/edreal/i/2019.v44n2/ ; /j/edreal/i/2019.v44n3/ ; /j/edreal/i/2019.v44n4/,4
